Node_for_0_eyes,Act_for_0_eyes,Frequency_for_0_eyes,0_output_weights_x,output_0_eyes_compScore,Node_for_0_mouth,Act_for_0_mouth,Frequency_for_0_mouth,0_output_weights_y,output_0_mouth_compScore,Node_for_0_forehead,Act_for_0_forehead,Frequency_for_0_forehead,0_output_weights_x,output_0_forehead_compScore,Node_for_0_nose,Act_for_0_nose,Frequency_for_0_nose,0_output_weights_y,output_0_nose_compScore
,,,,,,,,,,53,0.1424450407395623,0.12625250501002003,0.9197358919735893,0.2549931529342079,70.0,0.007226668691669714,0.11222444889779559,0.005036235503623551,0.0
,,,,,,,,,,22,0.19401324292222621,0.06012024048096192,0.6608179660817967,0.24953488419072417,,,,,
,,,,,,,,,,43,0.13996780192323102,0.1402805611222445,0.9051401305140131,0.24658236468708844,,,,,
,,,,,,,,,,38,0.18056464362178085,0.11422845691382766,0.697689009768901,0.24519558573238726,,,,,
,,,,,,,,,,51,0.1841509842992868,0.07014028056112225,0.6837518683751869,0.24507026531316836,,,,,
,,,,,,,,,,28,0.1384546673633689,0.4969939879759519,0.8726313872631388,0.2351562255469697,,,,,
,,,,,,,,,,57,0.12515069895805175,0.022044088176352707,0.8873306187330618,0.21614082140485333,,,,,
,,,,,,,,,,12,0.1329294569168412,0.8577154308617234,0.8027399402739941,0.20768931435802662,,,,,
,,,,,,,,,,37,0.1432383999345324,0.026052104208416832,0.7427649042764906,0.20707558000213455,,,,,
,,,,,,,,,,109,0.10860335799303536,0.8476953907815631,0.9392287439228745,0.198532988143061,,,,,
,,,,,,,,,,56,0.38294605945447213,0.02404809619238477,0.26296439629643964,0.195998436551509,,,,,
,,,,,,,,,,114,0.10976301937990188,0.15430861723446893,0.8879202287920229,0.18969157645959733,,,,,
,,,,,,,,,,74,0.1602085433225665,0.06412825651302605,0.597449419744942,0.18629657288695303,,,,,
,,,,,,,,,,100,0.10026302951364335,0.028056112224448898,0.9517065951706596,0.1857214014699155,,,,,
,,,,,,,,,,55,0.35182934167832713,0.10420841683366733,0.2686735068673507,0.1839818366633901,,,,,
,,,,,,,,,,42,0.09554293122719319,0.004008016032064128,0.889396388939639,0.16539103818711953,,,,,
,,,,,,,,,,102,0.21820827737045648,0.1462925851703407,0.3849304084930409,0.1634825833208069,,,,,
,,,,,,,,,,96,0.09274095656125528,0.3967935871743487,0.892952989295299,0.16118262221945437,,,,,
,,,,,,,,,,11,0.07867379782271067,0.4729458917835671,0.8756801875680188,0.13408916599171988,,,,,
,,,,,,,,,,39,0.16753174399180726,0.312625250501002,0.4065351006535101,0.13256021775225124,,,,,
,,,,,,,,,,26,0.0631142626200302,0.01002004008016032,0.9136214913621492,0.11223075124915267,,,,,
,,,,,,,,,,103,0.06169806010809207,0.03406813627254509,0.9112131311213132,0.10942322971861448,,,,,
,,,,,,,,,,116,0.2814923673079649,0.006012024048096192,0.1762487176248718,0.09656297546688779,,,,,
,,,,,,,,,,99,0.053776192636084165,0.022044088176352707,0.9092196909219692,0.09516493029804772,,,,,
,,,,,,,,,,115,0.1616471702039035,0.05811623246492986,0.297337349733735,0.09354824032896182,,,,,
,,,,,,,,,,0,0.3481388242517214,0.8617234468937875,0.1380362938036294,0.09353277054715003,,,,,
,,,,,,,,,,19,0.048990441753695414,0.312625250501002,0.8384072838407285,0.07994373754150395,,,,,
,,,,,,,,,,110,0.047125524889179614,0.11623246492985972,0.8502972850297286,0.07799109954224474,,,,,
,,,,,,,,,,127,0.1322689117710992,0.0,0.299877579987758,0.077200449358384,,,,,
,,,,,,,,,,92,0.31771463967751157,0.8537074148296593,0.12388743238874324,0.07660948259628278,,,,,
,,,,,,,,,,34,0.40418407930700934,0.7855711422845691,0.09547928954792896,0.07511149945932998,,,,,
,,,,,,,,,,23,0.2816492530377256,0.8396793587174348,0.13377048337704836,0.07333088908097832,,,,,
,,,,,,,,,,89,0.05278427341765711,0.01002004008016032,0.691781469178147,0.07107085211334846,,,,,
,,,,,,,,,,126,0.3666596276346446,0.004008016032064128,0.09852478985247899,0.07031154816468842,,,,,
,,,,,,,,,,117,0.1864416626172165,0.1743486973947896,0.1878618487861849,0.0681709913346189,,,,,
,,,,,,,,,,7,0.03702817854385091,0.002004008016032064,0.9001293900129391,0.06487170933909277,,,,,
,,,,,,,,,,120,0.40150641058436787,0.218436873747495,0.08188579318857933,0.06399102906617632,,,,,
,,,,,,,,,,85,0.22872114026581034,0.1523046092184369,0.1381736838173684,0.06151056188281073,,,,,
,,,,,,,,,,75,0.19521014052234278,0.34468937875751504,0.15124996512499653,0.057466627082193064,,,,,
,,,,,,,,,,86,0.46785580704691676,0.17234468937875752,0.061253792125379215,0.05577801503597618,,,,,
,,,,,,,,,,105,0.3249179813797376,0.002004008016032064,0.08740893874089388,0.05527740465208125,,,,,
,,,,,,,,,,125,0.12130443598992817,0.2545090180360721,0.21574095157409517,0.05093629161093069,,,,,
