Node_for_0_None,Act_for_0_None,Frequency_for_0_None,0_output_weights,output_0_None_compScore,Node_for_1_None,Act_for_1_None,Frequency_for_1_None,1_output_weights,output_1_None_compScore
103,0.12087886254686302,0.6507936507936508,0.9112131311213132,0.22830973052178835,15,0.11591478503251913,0.4966887417218543,0.9377850937785095,0.3301525125305988
2,0.3082994423044624,0.34467120181405897,0.35269719526971954,0.22538698413044939,55,0.1480340784147367,0.0728476821192053,0.7288658128865814,0.3277039920464615
109,0.10489580625738351,0.4013605442176871,0.9392287439228745,0.20421309514923774,20,0.11355610861823175,0.11699779249448124,0.9265217526521753,0.3195498138203572
26,0.1044600740642076,0.06349206349206349,0.9136214913621492,0.19782023965041032,98,0.11731268840004676,0.2185430463576159,0.8759905875990589,0.3121166051111533
74,0.15619541458983596,0.16780045351473924,0.597449419744942,0.1934298571350668,70,0.09984518661353063,0.2671081677704194,1.0,0.3032491416706415
40,0.1389405169178811,0.23809523809523808,0.6267474326747433,0.1804993162670284,112,0.11040249515650928,0.22075055187637968,0.900563750056375,0.30197138967039905
38,0.11277994123682428,0.29024943310657597,0.697689009768901,0.16309769863257828,32,0.10339104066138582,0.08830022075055188,0.9186681218668122,0.2884788647948646
57,0.08790635510357915,0.23129251700680273,0.8873306187330618,0.1616813132551434,9,0.09744897527333432,0.008830022075055188,0.9733902573390258,0.2880956620323352
67,0.2369828085017173,0.17006802721088435,0.2656098565609857,0.13047133810894684,64,0.1110518664698287,0.08388520971302428,0.8540033354003336,0.28804336535525504
96,0.06818898828377501,0.10884353741496598,0.892952989295299,0.12621091914624138,127,0.1349568626129796,0.024282560706401765,0.695809969580997,0.28520561260755173
117,0.316686567474567,0.17233560090702948,0.1878618487861849,0.12331682143108785,51,0.27487562088569095,0.5673289183222958,0.3278829827882983,0.27373324628732926
102,0.15277228875920643,0.2494331065759637,0.3849304084930409,0.12189359695541543,29,0.09708160203250056,0.4194260485651214,0.9239435923943592,0.272429943063383
115,0.1863851487317686,0.1383219954648526,0.297337349733735,0.11487217863622504,124,0.09762187645655016,0.27593818984547464,0.901589990158999,0.267318293411789
89,0.07779177497988751,0.2743764172335601,0.691781469178147,0.11154669122144738,22,0.17223387055439432,0.18322295805739514,0.5065138806513881,0.26496124764603785
127,0.1424161454786091,0.07029478458049887,0.299877579987758,0.08852324223712406,121,0.10647562994824258,0.45474613686534215,0.7915855791585579,0.25598854932847115
125,0.1801013082256688,0.2199546485260771,0.21574095157409517,0.08053850145403753,56,0.29330410927108913,0.037527593818984545,0.2824585282458528,0.2516200745929494
46,0.27913856964139344,0.46258503401360546,0.13394515339451535,0.07749986390844957,72,0.0853254144365283,0.09050772626931568,0.9183595918359592,0.23799269120364236
