Node_for_0_eyes,Act_for_0_eyes,Frequency_for_0_eyes,0_output_weights_x,output_0_eyes_compScore,Node_for_0_mouth,Act_for_0_mouth,Frequency_for_0_mouth,0_output_weights_y,output_0_mouth_compScore,Node_for_0_forehead,Act_for_0_forehead,Frequency_for_0_forehead,0_output_weights_x,output_0_forehead_compScore,Node_for_0_nose,Act_for_0_nose,Frequency_for_0_nose,0_output_weights_y,output_0_nose_compScore
105.0,0.04330700979667796,0.9979959919839679,0.08740893874089388,0.0474208896750496,105.0,0.023119430915992133,0.9979959919839679,0.08740893874089388,0.03183471604061642,22,0.28042486437313,0.04408817635270541,0.6608179660817967,0.33784517324323515,127.0,0.012333643265118032,0.12424849699398798,0.299877579987758,0.06707172130970827
62.0,0.02416583384317179,0.002004008016032064,0.12096474809647481,0.036306353781302904,102.0,0.004020240852136924,0.002004008016032064,0.3849304084930409,0.02421840962842633,81,0.19768799835438156,0.5170340681362725,0.9194313919431393,0.3313744271250649,102.0,0.008723857528467325,0.0781563126252505,0.3849304084930409,0.0608056850157495
127.0,0.009261060038612316,0.38276553106212424,0.299877579987758,0.034423911381711705,127.0,0.004668366591356962,0.27655310621242485,0.299877579987758,0.021843813113830463,63,0.35079658812301734,0.09218436873747494,0.499280409928041,0.3193149447117228,52.0,0.0026472549341858514,0.0,0.6132915613291562,0.028886382192590633
86.0,0.025678650359802387,0.02404809619238477,0.061253792125379215,0.01889989398425281,88.0,0.0011300336507977392,0.002004008016032064,0.8894776389477639,0.015491170711181201,95,0.18275006154918155,0.004008016032064128,0.9244541924454193,0.30800820544364466,105.0,0.016559514936273997,0.843687374749499,0.08740893874089388,0.0256459512611131
44.0,0.04990844820075442,0.0,0.031158480115848014,0.018669879024119894,111.0,0.009920238810298722,0.002004008016032064,0.09845021984502199,0.015032743285297172,51,0.24500711167744302,0.12625250501002003,0.6837518683751869,0.30541936846428014,111.0,0.008995698636673924,0.19438877755511022,0.09845021984502199,0.015307216228020375
115.0,0.004663344890178448,0.006012024048096192,0.297337349733735,0.016497972712448024,86.0,0.015103475652852296,0.03807615230460922,0.061253792125379215,0.014203992349270562,45,0.18248531097514048,0.8476953907815631,0.9111132311113231,0.3031235117011778,24.0,0.044003922443912706,0.0,0.015680791568079156,0.011707525233213547
111.0,0.0031726726041601955,0.014028056112224449,0.09845021984502199,0.002650190230013118,62.0,0.0021911654510868898,0.0,0.12096474809647481,0.0035825710901140383,65,0.16404564735499963,0.32064128256513025,0.9619570961957097,0.2876999408200275,86.0,0.010602267251006723,0.006012024048096192,0.061253792125379215,0.010960631014461337
8.0,0.0026734810743416168,0.0,0.10729135072913508,0.0023213594375684683,116.0,0.0011987138946152284,0.0,0.1762487176248718,0.002717173980973289,123,0.18428343923140045,0.6813627254509018,0.7766374776637478,0.260929998105263,10.0,0.00044163548506405447,0.0,0.6869871686987169,0.004592902231838312
24.0,0.016164100812543148,0.0,0.015680791568079156,0.0018911220077107366,70.0,0.008420393687054703,0.004008016032064128,0.005036235503623551,0.0,18,0.16562856765632178,0.8236472945891784,0.8444120544412055,0.2549817096705962,108.0,0.020419474833511912,0.09018036072144289,0.007511676151167617,0.0018323276516875964
41.0,0.00022259418746116733,0.0,0.901469860146986,0.0012104360696834821,,,,,,127,0.43325064118325207,0.014028056112224449,0.299877579987758,0.23686591470860202,70.0,0.010685217326148891,0.1623246492985972,0.005036235503623551,0.0
108.0,0.016312904103057767,0.04008016032064128,0.007511676151167617,0.00020334495398543207,,,,,,107,0.14813291438067172,0.5831663326653307,0.8521624452162446,0.2301406399393782,,,,,
70.0,0.021198938686265836,0.008016032064128256,0.005036235503623551,0.0,,,,,,66,0.11510325775268107,0.56312625250501,0.9861882986188298,0.2069506615196028,,,,,
,,,,,,,,,,47,0.11771182880289066,0.07014028056112225,0.9417383441738345,0.2021015847204582,,,,,
,,,,,,,,,,37,0.14865276798527696,0.34468937875751504,0.7427649042764906,0.20129998088485215,,,,,
,,,,,,,,,,84,0.10916014469767833,0.03406813627254509,0.9405178940517894,0.18717615581906108,,,,,
,,,,,,,,,,109,0.10844522873070479,0.8577154308617234,0.9392287439228745,0.1856954157257331,,,,,
,,,,,,,,,,52,0.15715940590800603,0.48897795591182364,0.6132915613291562,0.17572223791365937,,,,,
,,,,,,,,,,118,0.5198709762227001,0.625250501002004,0.18177740817774085,0.17228792362108183,,,,,
,,,,,,,,,,114,0.09871020467963905,0.05811623246492986,0.8879202287920229,0.15979212081826247,,,,,
,,,,,,,,,,99,0.0921159349035979,0.01002004008016032,0.9092196909219692,0.15269434558562958,,,,,
,,,,,,,,,,113,0.10536595680425134,0.43286573146292584,0.7879357787935779,0.1513597824673782,,,,,
,,,,,,,,,,55,0.27461896109165124,0.050100200400801605,0.2686735068673507,0.13451624080583924,,,,,
,,,,,,,,,,53,0.08009352426212968,0.21442885771543085,0.9197358919735893,0.1343012011318683,,,,,
,,,,,,,,,,13,0.07684103497859082,0.25250501002004005,0.9360087936008793,0.1311271109691368,,,,,
,,,,,,,,,,36,0.076095875061343,0.04208416833667335,0.9014734901473491,0.12506432214966837,,,,,
,,,,,,,,,,102,0.17796249725556276,0.16032064128256512,0.3849304084930409,0.12489069146051376,,,,,
,,,,,,,,,,100,0.06915846076335772,0.12024048096192384,0.9517065951706596,0.11999627257757295,,,,,
,,,,,,,,,,31,0.07740267291722966,0.026052104208416832,0.8070075807007581,0.11388143494489046,,,,,
,,,,,,,,,,104,0.09641576646024567,0.46693386773547096,0.6470209647020965,0.11373280991224544,,,,,
,,,,,,,,,,96,0.06670668010494464,0.22244488977955912,0.892952989295299,0.10859686312768342,,,,,
,,,,,,,,,,28,0.05954519840215354,0.1843687374749499,0.8726313872631388,0.09473204981518452,,,,,
,,,,,,,,,,115,0.17435575079579313,0.026052104208416832,0.297337349733735,0.0945159492871088,,,,,
,,,,,,,,,,57,0.05699361449043375,0.3406813627254509,0.8873306187330618,0.09220002237006307,,,,,
,,,,,,,,,,11,0.05731037129664062,0.06212424849699399,0.8756801875680188,0.09149515645710411,,,,,
,,,,,,,,,,10,0.06520877554319099,0.16432865731462926,0.6869871686987169,0.08167215763465191,,,,,
